row_id,주제,내용,상세내용,주장/검증매체
41,경제,"""아르헨 대통령 되면 중앙은행 없앨 것""","['밀레', '중앙은행', '아르헨티나', '의원', '계획', '개혁', '통화', '달러', '대통령', '하는', '공약', '재정', '공식', '위해', '라며', '나쁜']",한국경제
42,경제,"중·러, 일본에 오염수 '해양 방류' 대신 '수증기 방출' 검토 요청","['방출', '일본', '정부', '해양', '했다', '중러', '수증기', '대기', '방안', '요구', '대해', '후쿠시마', '뉴스', '검토', '통신', '계획', '선택', '디자이너']",뉴스1
43,경제,[8월 18일은 '쌀의 날'] 쌀가공식품으로 ‘쌀의 추락’ 막는다,"['식품', '가공', '글루텐', '소비', '프리', '있다', '인증', '시장', '확대', '지난해', '먹는', '하는', '비량', '한국', '쌀밥', '이런', '정부', '따르면', '연간', '했다', '성장', '가정', '간편식', '국내', '편의점', '지원', '수출', '건강', '세계']",농민신문
44,경제,쌀 가공품 홍보부터 나눔까지…각지서 ‘소비촉진’ 팔 걷어,"['농협', '행사', '가공', '식품', '기념', '가루', '서울', '중앙회', '생산', '회장', '캠페인', '제품', '꾸러미', '농림축산식품부', '소개', '했다', '아침밥', '먹기', '나눔', '됐다', '다양한', '홍보', '우리']",농민신문
45,경제,가루쌀 빵 맛보러 빵지순례 떠나볼까…유명빵집 19곳 참여,"['가루', '순례', '쌀빵', '행사', '농식품부', '반짝', '매장', '전국', '만든', '개최', '식품']",뉴시스
46,경제,걷기 운동 효과 ‘하루 2300보’부터…7천보 이상이면 효과 ‘쑥’,"['하루', '사망', '위험', '효과', '감소', '연구', '건강', '걸음', '했다', '이상', '신체', '활동', '운동', '걷기', '부족', '결과', '혈관', '질환', '평균', '부족한', '따르면', '생활', '원인', '인구', '걷는', '구진', '인한', '이면', '데이터', '확인']",한겨레
47,경제,"""미리 사놓을 걸""…의외로 잘 모르는 달러 투자 ①외화예금편 [김보미의 머니뭐니]","['환율', '달러', '이자', '시점', '기준', '때문', '금리', '예금', '개월', '경우', '있는', '만기', '보호', '통장', '은행', '가입', '원화', '환차손', '원금', '받을', '금액', '한다', '환차익', '높은', '있다는', '외화예금', '미만', '보험금', '지급', '달러화', '수준', '있다', '하는', '입출금', '형식', '적금', '상품', '해야', '정기예금', '원화로', '했을', '원리금', '된다', '이상']",한국경제TV
48,경제,"'새마을금고 사태' 잔불 여전…당국 ""고금리 예금 주시·연체율 관리 강화""","['새마을금고', '관리', '예금', '금고', '있다', '금융', '하는', '금리', '특판', '유동성', '실무', '건전성', '만기', '집중', '최근', '당국', '중앙회', '했다', '조치', '원단', '대응', '확대', '서울', '상품', '우려', '모니터링', '지원', '지역', '판매']",뉴스1
49,경제,"'새마을금고 사태' 잔불 여전…당국 ""고금리 예금 주시·연체율 관리 강화""","['새마을금고', '관리', '예금', '금고', '있다', '금융', '하는', '금리', '특판', '유동성', '실무', '건전성', '만기', '집중', '최근', '당국', '중앙회', '했다', '조치', '원단', '대응', '확대', '서울', '상품', '우려', '모니터링', '지원', '지역', '판매']",뉴스1
50,경제,"""주 52시간 넘게 불규칙적 일하는 근로자, 근골격계 통증 위험 3배""","['하는', '통증', '불규칙', '골격계', '그룹', '환경', '근로시간', '근무시간', '조사', '노동자', '위험', '이상', '결과', '교수', '시간', '규칙', '했습니다']",MBN
51,경제,6개 도시철도공사 지난해 1.3조 순손실…“요금 낮고 무임수송”,"['했다', '증가', '부채', '도시', '공사', '손실', '공기업', '지방', '철도공사', '보다', '교통', '지난해', '수송', '요금', '행안부', '원인', '개발', '순이익', '감소', '도시철도', '낮은', '발생', '분석', '사업', '하수도', '상승', '원가']",조선비즈
52,경제,"""기다리다 땀난다""…서울 지하철역 5곳 중 1곳은 냉방시설 없다","['역사', '냉방', '시설', '설치', '호선', '예산', '지하철', '공사', '서울', '온도', '않은', '되지', '실내', '하는', '교통', '서울역', '모델링', '폭염', '있다', '기준', '대해', '민원', '지하', '있는', '고객', '서울시', '지하철역', '아현', '차이', '확보', '아현역', '지난', '보니', '됐다', '입구', '했다', '해야', '적자', '손실', '서는']",이데일리
53,경제,"민주노총 ""이주노동자, 여전히 강제노동 처해…ILO에 위반 보고서 제출""","['노동자', '노동', '사업', '자유', '강제', '했다', '협약', '이동', '변경', '정부', '임금', '하는', '민주', '노총', '위원장']",노컷뉴스
54,경제,노조에 발목 잡힌 직무급제 '월급루팡' 솎아내기 지지부진,"['도입', '정부', '직무', '급제', '공공기관', '평가', '했다', '경영', '있는', '기관', '부문', '방침', '노동조합', '이상', '지난', '하는', '있다', '제도', '요구']",매일경제
55,경제,"전공노, 안동시청 공무원 노조 탈퇴 추진하자 지부장 권한 정지로 보복","['전공노', '지부', '조합원', '안동시', '부장', '권한', '정지', '탈퇴', '투표', '했다', '정치', '투쟁', '조직', '하는', '공무원', '유철', '찬반', '실시', '민주', '노총', '있다', '안동', '예정', '행위', '공문', '민노총', '추진', '이유', '임시', '총회', '대한', '전체', '지난']",조선일보
56,경제,"(취재파일) ""자동차세 할인 혜택 왜 깎아?"".. 금리 때문에 내렸다는데","['할인', '자동차세', '금리', '입니다', '시행', '혜택', '제도', '지난', '전라북도', '때문', '지방', '세법', '납부', '하면', '있습니다', '올해', '하는', '이용', '지난해', '이런', '다시', '실질', '기조', '역행']",전주MBC
57,경제,"파주시, 자동차세 연납 할인율 하향조정 “안될 말”","['자동차세', '금리', '할인', '파주시', '제도', '경기도', '개선', '하향', '조정', '상황', '했다', '서민']",뉴스1
58,경제,부산시민 부담 커질 듯…택시 이어 버스·도시철도 요금도 인상,"['요금', '인상', '시내버스', '도시철도', '했다', '부담', '교통카드', '조정', '적용', '시행', '구간', '부산', '시민', '위원회', '한다', '추가', '이후']",서울경제
59,경제,"""따릉이로 출근""…버스요금 인상에 '알뜰교통카드' 발급량↑","['요금', '입니다', '출근', '버스', '인상', '재생', '교통카드', '알뜰', '자막', '설정', '해상도', '자동', '직장인', '부담', '교통비', '공유', '자전거', '택시']",TV조선
60,경제,"송영무, 軍 성폭력에 ""군복 명예 실추시키고 반성 않는 모습 개탄""","['국방부', '했습니다', '성폭력', '사건', '사고', '자살', '장관', '회의', '군복', '대책', '발생', '장교', '군내', '처벌', '증가', '인식', '대한', '참모총장']",SBS
61,경제,"홍준표 ""자살 미화 고쳐야"" vs. 민주·정의 ""막말 추가..예의없다""","['대표', '했다', '막말', '비판', '정의당', '자살', '미화', '라며', '의원', '민주당', '대해', '언급', '죽음', '하는', '대변인', '맞는', '반박', '한다', '지적', '비난', '상황', '자신', '세상']",파이낸셜뉴스
62,경제,또 민간인 거주지역 때린 러시아…6살 아동 등 140여명 사상,"['우크라이나', '러시아', '했다', '밝혔다', '폭격', '체르니히우', '지역', '훈련', '북부', '도시', '현지', '시간', '공습', '민간인', '미사일', '광장', '있다', '행사', '전선', '전쟁범죄', '비판', '교회', '전시회', '됐다', '전투기']",경향신문
63,경제,"“흑자 전망하더니 뭔소리야 또”...한전, 전기요금 또 올릴 판","['인상', '가격', '전기요금', '한전', '했다', '지난', '올해', '추가', '단가', '다시', '전기', '하는', '전력', '상승', '도매', '유가', '전력거래소', '들어', '국제', '에너지', '평균', '내년', '하반기', '부담', '한국전력', '오른', '정산', '판매', '전망', '있다']",매일경제
