row_id,주제,내용,상세내용,주장/검증매체
945,경제,"[쿠키영상] '다산 신도시 실버택배 반대' 靑 국민청원 24만 명 동의…""정말 다산스럽다""","['실버', '택배', '신도시', '비용', '주민', '하는', '다산', '아파트', '관리', '반대']",K닥터 by 쿠키건강TV
946,경제,내 주변 임대아파트 이렇게 찾아보세요! 쉽게 입주하는 방법,"['확인', '공고', '임대주택', '하실', '신청', '가능합니다', '방법', '지역', '계획', '검색']",임대알리미 TV
947,경제,[국민임대주택]서울 아파트 월세가 17만원?? 무주택 서민을 위한 국민임대주택 2519세대 공급! 7년만의 최대 물량이 풀린다,"['영상', '확인', '있는', '여러분', '하시고', '하셔도']",보건복지TV
948,경제,[너무쉬운 금융용어 경제용어 14] 공매도 | 무한대의 손해를 볼 수도 !!,"['주식', '공매도', '사람', '이제', '예상', '반영', '오늘', '가격', '하락', '하는', '주주']",경제 TV 너무경 : 너무 쉬운 경제
949,경제,"공매도 완전 쉽게 설명, 공매도란 무엇인가, 한시적 공매도 금지, 무차입공매도란","['공매도', '주식', '차입', '매도', '빌려서', '사람', '주문']",크리스탈TV
950,경제,공매도에 휘둘리지 않고 올바르게 투자하는 방법 [서재형 공식채널],"['아침', '공매도', '있어', '동안', '사고', '가장']",서재형의 투자교실
951,경제,신협 직원이 13억 은행수익금 횡령해 주식 투자 / KBS 2021.08.28.,"['통장', '있습니다', '직원', '횡령', '돌린', '수수료']",KBS News
952,경제,"오스템임플란트 직원이 1,880억 횡령…1,400억 주식 투자 의혹 / KBS 2022.01.03.","['횡령', '입니다', '이씨', '주식', '이제', '하는', '있습니다', '임플란트']",KBS News
953,경제,"'2천억 대 횡령' 오스템임플란트 전 직원 징역 35년...""출소 뒤 범죄 수익 사용 계획"" / YTN","['혐의', '회사', '입니다', '징역', '재판', '돌린', '이씨']",YTN
954,경제,"[17/04/17 뉴스투데이] 中, 북한 여행상품 판매 중단…압박 수위 높이나?","['중국', '북한', '베이징', '여행사', '했습니다', '중단', '북핵', '대북', '압박', '관광']",MBCNEWS
955,경제,북한 여행상품 어떻게 준비하나? 북한 개별관광 설명회 풀영상,"['말씀', '해서', '대한', '건강', '북한', '있는']",트래블데일리 Travel DAILY
956,경제,"[자막뉴스] ""그냥 줄도산입니다. 지금"" 진짜 심각하다는 택시 상황 / KBS 2023.04.24.","['택시', '요금', '부산', '업계', '인상', '응답']",KBS News
957,경제,일본사람들이 한국의 최저임금을 보고 놀라는 이유,"['일본', '사람', '그런', '가치', '나라', '노동', '하는']",ぱく家(박가네)
958,경제,"""최저임금 사실상 내려""…민주노총 대규모 도심 집회 / JTBC 뉴스룸","['집회', '정부', '서울', '했습니다', '민주', '노총']",JTBC News
959,경제,20140515 시애틀. 최저임금 인상 타운홀 미팅,"['인상', '미팅', '최저임금', '했습니다', '상공회의소', '참석', '시애틀']",NuriCommunication
960,경제,[도망가] 그지 같은 중소기업을 피하는 방법 - 이런 회사라면 쳐다도 보지 마세요 (중소기업 취업),"['다음', '이야기', '있는', '정말', '진짜', '전환', '개월']",장키호테의 인생 리마인드
961,경제,최대 4억! 무이자대출~1.91% 정부지원 29가지 총집합! 초저금리 대출 방법 알려드립니다!,"['금리', '창업', '대출', '상공', '다음', '대상', '소상', '공인']",복지마블TV [Welfare Marble]
962,경제,정부지원 대출! 무이자 0%대출 4가지! + 저금리 대출 찾는 방법!,"['대출', '주택', '제도', '검색', '금융', '금리', '신청', '상환', '이하']",복지마블TV [Welfare Marble]
963,경제,1%대 2천만원 대출 마감되기전 신청하세요!!! 정부지원대출 신청자 몰리고 있어요!!! 생활안정자금,"['신청', '융자', '상환', '근로', '생활', '하시면', '됩니다', '자녀', '입니다']",알면 도움되는 제도
964,경제,햇살론 재직확인전화 없이 받을 수 있는 조건은? [대박남],"['확인', '회사', '보험', '이제', '경우', '제주', '전화', '진행', '되어', '하는']",대박남
965,경제,"[더뉴스] 합계출산율 0.7명대...또 세계 꼴찌, 정부 대책은? / YTN","['위원회', '출산', '합계', '우리나라', '출산율', '출생']",YTN
966,경제,2년 연속 인구 감소...올해 합계출산율 0.7명대 전망 / YTN,"['인구', '감소', '사망자', '가까이', '이상', '지난해', '여성', '합계', '출산율']",YTN
967,경제,지난해 출생아 25만 명 깨져...합계출산율 0.78명 / YTN,"['합계', '했습니다', '지난해', '출산율', '통계청', '출생', '아래', '명대', '이후']",YTN
968,경제,2년 연속 인구 감소...올해 합계출산율 0.7명대 전망 / YTN,"['인구', '감소', '사망자', '가까이', '이상', '지난해', '여성', '합계', '출산율']",YTN
969,경제,"[자막뉴스] 정부 ""술·담배 가격 인상 검토""...얼마나 오르길래? / YTN","['건강', '위해', '목표', '검진', '입니다', '흡연', '수명']",YTN
970,경제,"정 총리 ""담배·술 가격 인상 추진 사실 아니다""...급히 진화 / YTN","['입니다', '국민', '인상', '추진', '가격', '하는', '건강', '증진', '총리', '했습니다', '정부', '담배', '담뱃값']",YTN
