row_id,내용,상세내용,주장/검증매체
61,송영무  성폭력에 군복 명예 실추시키고 반성 않는 모습 개탄,"['사고', '자살', '장관', '대책', '사건', '인식', '성폭력', '발생', '국방부', '회의', '처벌', '증가']",SBS
62,홍준표 자살 미화 고쳐야 vs 민주정의 막말 추가예의없다,"['세상', '라며', '죽음', '지적', '자신', '미화', '상황', '비판', '의원', '민주당', '대변인', '언급', '대표', '정의당', '자살']",파이낸셜뉴스
63,러시아 공습에 피의 토요일 된 우크라,"['도심', '북부', '시간', '교회', '공격', '광장', '우크라이나', '미사일', '민간인', '주말', '공습', '부상', '방문', '러시아']",부산일보
64,또 민간인 거주지역 때린 러시아6살 아동 등 140여명 사상,"['시간', '우크라이나', '미사일', '행사', '지역', '현지', '도시', '러시아', '비판', '훈련', '민간인', '전투기', '북부', '전쟁범죄', '전선', '교회', '광장', '공습', '전시회']",경향신문
65,부산시민 부담 커질 듯택시 이어 버스도시철도 요금도 인상,"['시내버스', '인상', '위원회', '요금', '조정', '교통카드', '시행', '부담', '시민', '이후', '추가', '적용', '부산', '도시철도']",서울경제
66,트럼프 4번째 기소에 마피아처벌법 적용당선시 셀프사면 불가,"['보고서', '비용', '대통령', '선거', '통신', '조직', '블룸버그', '정치', '연방', '트럼프', '적용', '발표', '연합뉴스', '경우', '범죄', '대선', '검찰', '혐의', '사면', '유지', '이번', '기소']",연합뉴스
67,HD현대중공업 8000억 호위함 사업 심사결과 반발 불합리한 심사규정,"['심사', '법원', '관련', '결과', '협상', '추진', '대상', '결정', '한화', '배치', '개정', '방사청', '사고', '판단', '합리', '울산', '선정', '기술', '제기', '가처분', '대상자', '향후', '보안', '신청', '직원', '규정', '전력', '현대', '중공업', '법적', '불법', '경쟁', '사업', '입장', '확정', '점수', '촬영', '기소', '이번', '관계자']",더팩트
68,HD현대 함정사업 독점재편 우려보안사고 감점제 개정돼야,"['관련', '결과', '협상', '업체', '한화', '개정', '방사청', '사고', '울산', '적용', '가처분', '대상자', '보안', '신청', '규정', '입찰', '발생', '중공업', '사업', '입장', '확정', '점수', '국내', '기소', '지난해']",아이뉴스24
69,SPC 계열 샤니 끼임 재해자 결국 숨져중대재해처벌법 적용,"['그룹', '책임자', '해당', '중대', '관련', '회장', '노동부', '노동자', '작업', '사고', '열사', '이상', '계열', '공장', '적용', '발생', '안전', '기계', '검찰', '재해', '지난해']",경향신문
70,청약저축 금리 28퍼센트로 인상정책 대출 금리도 올려,"['주택', '대출', '최저', '금리', '포인트', '배우자', '청약', '기간', '통장', '예금', '기금', '보유', '혜택', '인정', '저축']",연합뉴스TV
